"alphaW","Original.Est_B001","Original.Est_B002","Original.Est_B003","Original.Est_B004","Original.Est_B005","Original.Est_B006","Original.Est_B007","Original.Est_B008","Original.Est_B009","Original.Est_B010","Original.Est_B011","Original.SE_B001","Original.SE_B002","Original.SE_B003","Original.SE_B004","Original.SE_B005","Original.SE_B006","Original.SE_B007","Original.SE_B008","Original.SE_B009","Original.SE_B010","Original.SE_B011"
0.52,-1.58676227745494,-1.68092974150023,-1.6902552942464,-1.65317416662277,-1.71066101388815,-1.68152795799926,-1.71072646835357,-1.50453826594244,-1.49261873755944,-1.67521332050056,-1.68013643710658,0.345912709649684,0.337659069669619,0.340945210105929,0.34325083091623,0.336732428391756,0.339457675496722,0.336732559762045,0.350320308837405,0.343999165309362,0.343770470515689,0.339744713292955
0.53,-1.52413171199108,-1.90368324954907,-1.84668378155535,-1.67066627851285,-1.56350042500994,-1.91854259798742,-1.5654782281692,-1.90331869288153,-1.54319417257872,-1.6697448940084,-1.68475403103919,0.342401232516742,0.327654358111137,0.353086373040257,0.338102942272525,0.340444438895366,0.336588980764185,0.339459814512452,0.327681363260384,0.343225851544371,0.338106952203709,0.337869288523043
0.54,-1.65235199066984,-1.66315641639686,-1.658836294206,-1.61477166346879,-1.70249378024296,-1.64919246763479,-1.66920911927861,-1.40274304279171,-1.48114904662587,-1.63692415934802,-1.70724723445313,0.334156223271688,0.337041971985993,0.32274154660933,0.336007943098522,0.329844366969698,0.338386621311095,0.339015168859352,0.388370826861293,0.378221520950246,0.46376655273826,0.358654767041989
0.55,-1.62512284731201,-1.58170321962528,-1.57194203988766,-1.86156941348795,-1.81281127747158,-1.56713339616992,-1.63329165632046,-1.78542761282475,-1.65399360270947,-1.70417059976355,-1.5559012947865,0.334981862366941,0.33849001976124,0.336242624803511,0.364284888722219,0.360903259842301,0.340789878332241,0.339910690450483,0.356636888880187,0.336002601176017,0.332138313722456,0.34083457781232
0.56,-1.54633882591235,-1.65680933940613,-1.73195597903947,-1.71670539112342,-1.73572365533862,-1.24494759132288,-1.70025157841301,-1.65252193723072,-1.58480503420599,-1.73037841841877,-1.72080493363633,0.33353354827249,0.332968960512342,0.343610705290298,0.341882176979598,0.340518230411744,0.338629305504571,0.330289746193449,0.333148336375271,0.339444933356591,0.341271540952691,0.346634261215201
0.57,-1.47493380350184,-1.48939174408834,-1.55086039183835,-1.58952487908083,-1.42271867928192,-1.47768025814188,-1.54055975279472,-1.39274978546441,-1.45867262268812,-1.71576780881854,-1.51826916859933,0.336995093570607,0.337453235271961,0.338528050974946,0.34261057371488,0.333001842437337,0.335899957747868,0.332932075590993,0.329350138442367,0.343221819822188,0.327554018813668,0.33732271477238
0.58,-1.1277783260792,-1.14459846127157,-1.1474088039119,-1.17751197205289,-1.17544977892467,-1.13519409318102,-1.21121514329554,-1.13301517366527,-1.18211729435564,-1.14603860710543,-1.15677174193633,0.353247725924258,0.354079340786466,0.356915698282966,0.368854427691788,0.359433277704377,0.356175850875009,0.347655388395874,0.351694335013006,0.351529909180659,0.359474844314401,0.35688077392525
0.59,-1.53847309164307,-1.42551630106762,-1.54119593959863,-1.52542621891439,-1.43591129327533,-1.4953186421371,-1.49669223819579,-1.56203480431622,-1.47759576673065,-1.49903256271733,-1.52569835797095,0.335779159918993,0.328023309301277,0.335670433990221,0.337417741956521,0.32865804737442,0.337171798495693,0.336889568668745,0.344070190862609,0.33406156741671,0.337185503226267,0.333026417533036
0.6,-1.26729209247794,-1.91701808117016,-1.4284192534423,-1.24802722288401,-1.20427932177405,-1.58841813329218,-1.44325807133297,-1.21525742593335,-1.21916221494575,-1.43720335773065,-1.55097713216997,0.336128401793406,0.381604020236882,0.332166314249863,0.328184449103316,0.327546863160435,0.352380974180841,0.335856855030243,0.326918247480688,0.334985246288212,0.339400947724507,0.348284578849571
0.61,-1.52251960360049,-1.4734177389956,-1.53084137798875,-1.44308237372517,-1.52862664792392,-1.48940384320832,-1.41701611776609,-1.4450094364894,-1.43270320466792,-1.53549742923255,-1.4776081071161,0.329509430495414,0.337707595700188,0.337475672867359,0.351418633739372,0.329723611596707,0.32995568352327,0.375185178502696,0.327222345071796,0.326727621997417,0.329063982787154,0.326830992326063
0.62,-1.26715425178112,-1.5323512635196,-1.3134648076106,-1.50906225407861,-1.77755520094058,-1.56056995740775,-1.46444025499432,-1.65238256149517,-1.45868600528442,-1.78475520706835,-1.57088877945062,0.394478854137205,0.391194413817246,0.343021538348077,0.374660984427862,0.309018527574547,0.357256824952775,0.382540868017195,0.351086587094856,0.357017232928283,0.297066913100453,0.347185230108721
0.63,-1.68862483030923,-1.74966737372515,-1.82831017786842,-1.38333319504585,-1.68923962060096,-1.69194543990653,-1.06766868351678,-1.6995243434881,-1.65773607312055,-1.60075657149106,-1.62092060342136,0.387576392015489,0.29207173129894,0.284839418032407,0.332450597032121,0.385421520250636,0.35064728210129,0.322606910085647,0.380425400926141,0.372418080633083,0.379752679168359,0.322704020238235
0.64,-1.47048792845017,-1.42052652278166,-1.39656482476975,-1.43672810610902,-1.60701943957097,-1.39689286996252,-1.39954145680693,-1.4121233046867,-1.25673889579247,-1.41164191108616,-1.30428367621566,0.32919346165111,0.322689058055545,0.337974036809437,0.324318639480924,0.325917772079551,0.337983209466191,0.355749097928273,0.358976974878656,0.338419739823768,0.358971003431197,0.318682700598572
0.65,-1.59799259305287,-1.53643682455659,-1.53430099734181,-1.66981792824289,-1.74366773804795,-1.74452439337455,-1.60551519740519,-1.74460452544655,-1.57698587905411,-1.59819759113688,-1.74412535109245,0.316764054440295,0.324751234400621,0.326223948726109,0.324649687290412,0.331584435329262,0.330431319086175,0.31766670430537,0.33043078895598,0.319958458168055,0.316750851944116,0.331558033539479
0.66,-1.54038098642285,-1.27783640163232,-1.31628308583059,-1.35037187319133,-1.32685153181104,-1.28780696927578,-1.26118776635182,-1.32392515221052,-1.29468366533082,-1.25129080598797,-1.35607275414647,0.318610971122718,0.319075884690624,0.319858654904334,0.332880346343379,0.317440762308443,0.319581622686806,0.319037289179057,0.320080245016016,0.315842378942591,0.31779628428576,0.33810776606247
